Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",83.250000,-59.750000,0.000000,top
"C2","22u","C_0805_2012Metric",90.000000,-65.050000,90.000000,top
"C3","100n","C_0402_1005Metric",72.250000,-63.250000,0.000000,top
"C4","10p","C_0402_1005Metric",67.500000,-56.330000,90.000000,top
"C5","10u","C_0603_1608Metric",72.750000,-49.000000,0.000000,top
"C6","10p","C_0402_1005Metric",67.500000,-58.580000,90.000000,top
"C7","100n","C_0402_1005Metric",81.250000,-55.000000,-90.000000,top
"C8","100n","C_0402_1005Metric",78.250000,-63.500000,180.000000,top
"C9","100n","C_0402_1005Metric",69.250000,-54.250000,90.000000,top
"C10","100n","C_0402_1005Metric",72.750000,-51.000000,0.000000,top
"C11","10n","C_0402_1005Metric",69.250000,-59.250000,90.000000,top
"C12","1u","C_0402_1005Metric",67.750000,-63.000000,180.000000,top
"C13","1u","C_0402_1005Metric",67.750000,-64.750000,180.000000,top
"D1","LED","LED_0603_1608Metric",90.750000,-68.250000,180.000000,top
"FB1","120R","L_0603_1608Metric",70.000000,-63.500000,-90.000000,top
"J1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",69.170000,-72.750000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",74.290000,-43.250000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",87.050000,-43.250000,-90.000000,top
"J4","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",93.745000,-55.255000,90.000000,top
"R1","1k5","R_0402_1005Metric",92.500000,-65.260000,90.000000,top
"R2","1k5","R_0402_1005Metric",76.000000,-65.250000,0.000000,top
"R3","1k5","R_0402_1005Metric",73.750000,-65.250000,180.000000,top
"R4","10k","R_0402_1005Metric",72.750000,-47.500000,0.000000,top
"R5","1k5","R_0402_1005Metric",83.250000,-55.750000,-90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",59.475000,-50.250000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",84.500000,-65.500000,-90.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",75.250000,-57.500000,0.000000,top
"Y1","16Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",64.750000,-57.500000,-90.000000,top
